Date,Open,High,Low,Close,Adj Close,Volume
3/13/2014,162.160004,164.5,162.160004,164.5,164.5,0
3/14/2014,164,164.600006,162.490005,164.600006,164.600006,0
3/17/2014,162.25,162.740005,162.220001,162.139999,162.139999,0
3/18/2014,162.199997,164.699997,162.199997,164.699997,164.699997,0
3/19/2014,162.630005,164.199997,162.350006,164.199997,164.199997,0
3/20/2014,163.429993,164.800003,162.630005,164.600006,164.600006,0
3/21/2014,162.5,165,162.5,164.600006,164.600006,0
3/24/2014,162.910004,164.850006,162.860001,162.839996,162.839996,0
3/25/2014,162,164.699997,162,164.699997,164.699997,0
3/26/2014,162.970001,164.75,162.690002,165,165,0
3/27/2014,162.710007,164.699997,162.699997,164.699997,164.699997,0
3/28/2014,162.869995,164.949997,162.869995,164.699997,164.699997,0
3/31/2014,162.660004,164.850006,162.639999,162.639999,162.639999,0
4/1/2014,163.020004,164.850006,163.020004,164.850006,164.850006,0
4/2/2014,162.550003,162.550003,161.979996,164.800003,164.800003,0
4/3/2014,161.490005,164.800003,161.490005,162.210007,162.210007,0
4/4/2014,161.929993,163.449997,161.779999,163.449997,163.449997,0
4/7/2014,161.839996,161.839996,161.600006,161.850006,161.850006,0
4/8/2014,161.449997,163.75,161.369995,163.699997,163.699997,0
4/9/2014,161.050003,163.649994,161.050003,163.649994,163.649994,0
4/10/2014,160.710007,162.800003,159.029999,162.800003,162.800003,0
4/11/2014,158.830002,160.899994,158.75,160.699997,160.699997,0
4/14/2014,159.259995,161.179993,158.899994,159.279999,159.279999,0
4/15/2014,159.600006,161.050003,159.580002,161.050003,161.050003,0
4/16/2014,159.470001,161.5,159.470001,161.5,161.5,0
4/17/2014,160.059998,162.25,160.059998,161,161,0
4/18/2014,160.660004,162.25,160.550003,162.199997,162.199997,0
4/21/2014,160.619995,162.25,160.520004,160.619995,160.619995,0
4/22/2014,160.860001,162.199997,160.029999,162.199997,162.199997,0
4/23/2014,160.220001,162,159.539993,162,162,0
4/24/2014,159.830002,161.5,158.820007,161.5,161.5,0
4/25/2014,158.720001,160.899994,158.720001,160.899994,160.899994,0
4/28/2014,158.789993,160.949997,158.789993,160.699997,160.699997,0
4/29/2014,159.009995,160.949997,158.550003,160.949997,160.949997,0
4/30/2014,159.070007,160.600006,158.429993,160.600006,160.600006,0
5/1/2014,157.970001,160.600006,157.779999,160.600006,160.600006,0
5/2/2014,157.979996,160.5,157.759995,160.5,160.5,0
5/5/2014,157.610001,159.600006,156.740005,159.600006,159.600006,0
5/6/2014,156.830002,158.649994,156.830002,158.649994,158.649994,0
5/7/2014,156.919998,161.949997,156.919998,161.5,161.5,0
5/8/2014,159.449997,161.800003,159.449997,161.800003,161.800003,0
5/9/2014,160.649994,161.199997,159.050003,160.800003,160.800003,0
5/12/2014,159.440002,161,159.25,161,161,0
5/13/2014,159.880005,161,159.880005,161,161,0
5/14/2014,159.889999,162.399994,159.889999,162.399994,162.399994,0
5/15/2014,160.429993,162.449997,160.429993,162.199997,162.199997,0
5/16/2014,159.899994,162.300003,159.850006,162.300003,162.300003,0
5/19/2014,159.75,162.509995,159.639999,159.809998,159.809998,0
5/20/2014,160.229996,163.050003,160.229996,162.5,162.5,0
5/21/2014,161.039993,163,161.039993,163,163,0
5/22/2014,161.190002,162.300003,159.589996,162.300003,162.300003,0
5/23/2014,159.860001,162.300003,159.860001,162.009995,162.009995,0
5/26/2014,160.199997,160.199997,160.050003,162.100006,162.100006,0
5/27/2014,160.440002,162.649994,160.440002,160.050003,160.050003,0
5/28/2014,160.25,162.600006,160.25,160.570007,160.570007,0
5/29/2014,160.559998,162.600006,160.460007,162.5,162.5,0
5/30/2014,160.619995,162.649994,160.589996,162.600006,162.600006,0
6/2/2014,160.369995,162.550003,159.75,162.550003,162.550003,0
6/3/2014,159.899994,162.460007,159.899994,162.210007,162.210007,0
6/4/2014,160.130005,162.649994,160.130005,162.25,162.25,0
6/5/2014,160.5,162.949997,160.5,162.600006,162.600006,0
6/6/2014,162.389999,163.350006,162.389999,162.699997,162.699997,0
6/9/2014,160.509995,163.100006,160.509995,162.289993,162.289993,0
6/10/2014,160.869995,163.100006,160.729996,162.600006,162.600006,0
6/11/2014,160.809998,161.229996,160.809998,162.600006,162.600006,0
6/12/2014,161.190002,161.350006,161.160004,162.800003,162.800003,0
6/13/2014,160.990005,163.589996,160.990005,163.199997,163.199997,0
